temp_bin,rainfall_bin,height_bin,count
"(4.0, 8.0]","(3.0, 3.5]","(600.0, 800.0]",22
"(4.0, 8.0]","(3.0, 3.5]","(800.0, 1000.0]",39
"(4.0, 8.0]","(3.0, 3.5]","(1000.0, 1200.0]",42
"(4.0, 8.0]","(3.0, 3.5]","(1400.0, 1600.0]",9
"(4.0, 8.0]","(3.0, 3.5]","(1600.0, 1800.0]",5
"(4.0, 8.0]","(3.0, 3.5]","(1800.0, 2000.0]",1
"(4.0, 8.0]","(3.5, 4.0]","(-0.001, 200.0]",1
"(4.0, 8.0]","(3.5, 4.0]","(200.0, 400.0]",3
"(4.0, 8.0]","(3.5, 4.0]","(400.0, 600.0]",23
"(4.0, 8.0]","(3.5, 4.0]","(600.0, 800.0]",37
"(4.0, 8.0]","(3.5, 4.0]","(800.0, 1000.0]",74
"(4.0, 8.0]","(3.5, 4.0]","(1000.0, 1200.0]",59
"(4.0, 8.0]","(3.5, 4.0]","(1400.0, 1600.0]",6
"(4.0, 8.0]","(3.5, 4.0]","(1600.0, 1800.0]",14
"(4.0, 8.0]","(3.5, 4.0]","(1800.0, 2000.0]",4
"(4.0, 8.0]","(4.0, 4.5]","(200.0, 400.0]",2
"(4.0, 8.0]","(4.0, 4.5]","(400.0, 600.0]",16
"(4.0, 8.0]","(4.0, 4.5]","(600.0, 800.0]",21
"(4.0, 8.0]","(4.0, 4.5]","(800.0, 1000.0]",34
"(4.0, 8.0]","(4.0, 4.5]","(1000.0, 1200.0]",24
"(4.0, 8.0]","(4.0, 4.5]","(1400.0, 1600.0]",4
"(4.0, 8.0]","(4.0, 4.5]","(1600.0, 1800.0]",9
"(4.0, 8.0]","(4.0, 4.5]","(1800.0, 2000.0]",4
"(4.0, 8.0]","(4.5, 5.0]","(-0.001, 200.0]",3
"(4.0, 8.0]","(4.5, 5.0]","(200.0, 400.0]",3
"(4.0, 8.0]","(4.5, 5.0]","(400.0, 600.0]",16
