temp_bin,rainfall_bin,height_bin,count
"(40.0, 44.0]","(2.0, 2.5]","(200.0, 400.0]",15
"(40.0, 44.0]","(2.0, 2.5]","(400.0, 600.0]",1
"(40.0, 44.0]","(2.5, 3.0]","(-0.001, 200.0]",30
"(40.0, 44.0]","(2.5, 3.0]","(200.0, 400.0]",20
"(40.0, 44.0]","(2.5, 3.0]","(400.0, 600.0]",1
"(40.0, 44.0]","(2.5, 3.0]","(600.0, 800.0]",1
"(40.0, 44.0]","(3.0, 3.5]","(-0.001, 200.0]",12
"(40.0, 44.0]","(3.0, 3.5]","(200.0, 400.0]",8
"(40.0, 44.0]","(3.0, 3.5]","(400.0, 600.0]",2
"(40.0, 44.0]","(3.0, 3.5]","(600.0, 800.0]",1
"(40.0, 44.0]","(3.5, 4.0]","(-0.001, 200.0]",13
"(40.0, 44.0]","(3.5, 4.0]","(200.0, 400.0]",8
"(40.0, 44.0]","(3.5, 4.0]","(400.0, 600.0]",2
"(40.0, 44.0]","(3.5, 4.0]","(600.0, 800.0]",2
"(40.0, 44.0]","(4.0, 4.5]","(-0.001, 200.0]",2
"(40.0, 44.0]","(4.0, 4.5]","(200.0, 400.0]",9
"(40.0, 44.0]","(4.0, 4.5]","(400.0, 600.0]",1
"(40.0, 44.0]","(4.5, 5.0]","(-0.001, 200.0]",14
"(40.0, 44.0]","(4.5, 5.0]","(200.0, 400.0]",6
"(40.0, 44.0]","(4.5, 5.0]","(400.0, 600.0]",2
"(40.0, 44.0]","(4.5, 5.0]","(600.0, 800.0]",2
